RA,DEC,z
144.2766,-5.0085,0.0507
147.1395,79.8849,0.0
146.899,78.7021,0.0
144.654,-4.1929,0.0
144.5538,-20.926,0.0
145.4833,56.5719,0.0
145.0133,-0.9439,0.0
146.0211,64.4039,0.0
145.2822,22.4888,0.0
145.0978,2.4559,0.0
146.8915,74.8685,0.0
145.3534,21.3553,0.0
145.2766,12.5721,0.0
145.7112,47.0045,0.0
145.5057,29.4216,0.0
145.5596,15.388,0.0
145.5159,8.9381,0.2069
145.3649,-9.2782,0.0
146.3528,56.5528,0.0
145.5248,-22.6121,0.0
145.8572,5.8872,0.0881
145.9154,8.8537,0.0
145.8967,2.1037,0.0
145.8911,0.0537,0.0
146.1173,9.5698,0.0
145.9808,-12.6133,0.0
147.4895,71.2001,0.0
146.6628,43.4852,0.0
146.9886,58.1345,0.0
146.2924,0.5359,0.0
146.3673,-8.6476,0.153
146.5473,2.3519,0.0
146.692,9.6016,0.0
147.8016,65.7824,0.0
148.8703,77.2634,0.0
148.1836,71.2982,0.182
147.6582,58.0327,0.0
148.4215,70.9309,0.0
147.4758,29.2829,0.0
148.9798,75.3797,0.0
147.4312,5.7663,0.0
147.6739,28.8657,0.0
147.4299,-4.1671,0.0
149.0091,71.7128,0.0
147.8126,8.2486,0.1408
147.8303,5.4985,0.0
147.8783,4.7317,0.0
148.6982,62.48,0.0
148.5759,57.8969,0.0
148.4163,40.3472,0.0
149.9587,76.9439,0.0
148.3779,22.7805,0.0
148.2534,-4.8359,0.0
148.5703,28.4134,0.0
148.3924,0.5637,0.0
148.9215,35.9792,0.0
148.9721,36.1624,0.0
149.1852,49.4953,0.36
149.1168,41.0121,0.0
149.0685,28.1955,0.0
149.4326,49.2613,0.0
149.5725,55.2777,0.0
149.1395,18.5952,0.0
149.0406,-9.938,0.0
149.115,-10.1715,0.0
149.4419,19.6278,0.0
150.0365,60.0766,0.0
150.1079,56.9931,0.0
150.3966,65.3758,0.0
149.5881,-11.056,0.0
149.8991,22.41,0.0
151.2966,74.8239,0.0
150.7453,67.1583,0.2055
150.1024,-15.3906,0.0
150.2906,-0.1077,0.0888
150.6424,20.4749,0.1675
152.1082,71.2385,0.0
151.4572,50.9231,0.0
150.968,-19.3761,0.0
151.9471,62.5054,0.0
152.6161,73.7374,0.0
151.2393,-0.6933,0.0
151.8336,55.2723,0.0
151.3835,7.4231,0.0
152.5971,71.0207,0.0
151.6309,25.9059,0.1162
151.7617,35.6556,0.0989
151.7093,27.1224,0.0
151.694,21.6891,0.0
152.0506,50.3217,0.0
151.718,11.5056,0.0
151.9695,38.0052,0.0
151.7278,-5.6278,0.0
151.7091,-13.4111,0.0
152.0129,19.5883,0.0
151.9171,0.5218,0.0
152.1568,17.2546,0.0
152.6586,55.987,0.0
152.3152,29.5543,0.0
152.2235,13.9711,0.0
152.3594,18.4042,0.0
152.1896,-11.3122,0.0
152.2768,-16.6291,0.0
152.4243,3.6873,0.0
152.8609,19.2864,0.0
153.0509,33.6193,0.0
152.7863,-2.0302,0.0
153.9184,69.0844,0.0917
153.1222,23.8525,0.0
153.7877,63.0679,0.0
154.2544,72.3004,0.0
153.1052,6.4191,0.0
153.6645,49.8181,0.0
153.4782,34.7184,0.1427
153.4362,19.7684,0.0
153.2798,-15.948,0.0
153.4156,-0.1316,0.0
153.2334,-24.448,0.0
153.8503,47.1677,0.0
153.4889,-0.9151,0.044
154.0484,41.0005,0.0
154.3746,59.5499,0.0
154.6918,66.216,0.0
154.1228,33.617,0.0
154.7089,63.4659,0.0
154.2902,39.0167,0.206
154.1477,24.8002,0.0
154.6597,49.8826,0.0
154.0575,-25.3831,0.0
154.6057,43.4327,0.0
155.2895,68.2648,0.0
154.6367,30.3659,0.0
154.3929,-10.7004,0.0
154.9448,40.9653,0.0
154.9896,39.5485,0.0
154.8578,8.0653,0.0
154.9208,14.0486,0.0
155.663,64.6306,0.0
154.8612,-13.9181,0.0
155.2185,33.2314,0.0
155.1273,-6.5186,0.0527
155.0994,-7.8852,0.055
155.6059,50.114,0.0
156.1032,68.1131,0.0
155.4719,34.6308,0.0
155.8655,59.8135,0.0
155.3413,12.1977,0.0
155.7402,52.047,0.0
155.3954,14.1309,0.0
155.429,6.3975,0.0
155.6645,32.3138,0.0
155.5098,9.1973,0.0
155.8748,49.1634,0.0
155.6057,18.8805,0.088
155.6344,20.4971,0.0
155.4807,-4.9527,0.0533
155.7066,19.3303,0.0
155.9038,37.28,0.0
155.7223,15.1469,0.0
155.9792,37.5132,0.0
156.5708,67.9622,0.0
155.8422,12.8467,0.0318
156.2279,50.1794,0.0
155.8025,-6.6033,0.0
156.2761,49.8626,0.0
156.2666,47.796,0.052
156.3814,51.0624,0.0
156.8713,68.2283,0.0
156.9048,67.0449,0.0
156.3643,32.929,0.0
156.1802,-5.3541,0.0
156.2293,-5.7875,0.0
156.5572,39.062,0.0
156.3655,12.2623,0.0
156.5343,31.2787,0.0
156.4786,-6.2213,0.0
157.2568,65.4442,0.0
156.9421,34.5446,0.0
156.7625,10.9782,0.0321
157.5257,65.127,0.0
156.9758,17.5611,0.297
157.1065,30.8109,0.0
156.9612,10.4111,0.065
157.1756,37.6608,0.0
157.0846,9.6775,0.0
157.0028,-6.7557,0.0
157.0731,3.7609,0.0
157.8996,62.8429,0.0
157.5319,40.0768,0.0
157.7356,53.3931,0.0
157.6599,41.1266,0.0
158.853,77.3247,0.0
157.6555,30.9932,0.0
157.7767,38.7263,0.0
157.5734,4.0099,0.0
157.8907,35.0761,0.0
157.827,18.7095,0.0
158.0304,40.2092,0.0799
158.0316,31.8592,0.0
158.9303,68.7744,0.0
158.2449,2.242,0.0
158.2071,-4.7913,0.0
158.5961,45.4749,0.0
158.2245,-8.8913,0.0
158.5374,11.7915,0.0
158.596,16.2748,0.0
158.5511,5.6581,0.0
158.7517,30.6912,0.0
159.3892,67.9569,0.0
158.6988,4.4079,0.0
159.0137,43.9408,0.0
159.6584,67.7398,0.0
159.2158,44.8071,0.0
159.2457,46.207,0.0
159.0947,28.0572,0.0
159.1758,30.7571,0.0
159.333,42.6235,0.0
159.3416,37.1568,0.0
159.4798,41.8066,0.0
159.2878,12.4069,0.0
159.4589,34.3733,0.0
159.3054,-5.9766,0.0
159.2137,-27.5265,0.0114
160.1962,67.2055,0.0
159.6688,15.8729,0.0
159.699,18.6562,0.0
159.693,1.2728,0.0
160.2384,56.8887,0.0
159.8497,5.1725,0.0
160.1474,40.2388,0.0
160.1964,39.9554,0.0
159.9762,-8.6111,0.063
161.6739,78.1366,0.0
160.6538,43.088,0.0
160.8619,57.4044,0.0
160.6109,36.638,0.139
160.8147,46.6377,0.0
160.6248,-9.7288,0.0
161.2633,58.1704,0.0
161.1626,46.5038,0.0
160.8919,0.6375,0.0
160.8538,-7.3792,0.0
160.9926,1.0873,0.0
161.2062,35.5704,0.1588
161.1739,32.3704,0.0
161.545,59.6533,0.0
161.1545,-7.0797,0.0
161.3243,20.2702,0.0
161.1638,-16.4964,0.0
161.5524,43.9032,0.0
161.1836,-19.4797,0.0
161.596,18.6364,0.0
161.436,-18.3301,0.0
161.4884,-16.9969,0.0
161.5929,1.353,0.0
161.73,9.0695,0.226
161.8868,27.5193,0.2004
161.8648,15.2193,0.0
162.0375,28.0524,0.0
162.1192,31.4689,0.0
161.9848,-3.9309,0.0
162.2265,34.9688,0.0
162.2262,22.2354,0.0455
162.4248,44.3519,0.1614
162.2267,7.1687,0.0
162.2864,13.4353,0.0
162.1641,-17.1479,0.0
162.3051,9.4353,0.0
162.5731,43.985,0.0
162.3713,3.6352,0.0
162.4657,16.2184,0.0
162.5181,17.7516,0.0
162.8922,42.3845,0.0
162.662,-2.5653,0.0
163.0868,55.5509,0.0
162.7536,8.6346,0.0
162.8465,20.1512,0.0
162.8791,9.0344,0.0
163.0337,12.2175,0.0
163.259,39.734,0.0
163.3037,37.5506,0.0
163.1813,10.7007,0.0
163.3145,30.8005,0.0
163.2038,9.0173,0.0
163.3792,37.9004,0.0
164.171,75.5162,0.1235
164.0309,71.7497,0.0
163.4554,10.2336,0.0
163.4903,16.8502,0.0852
163.5369,14.6668,0.0
163.5536,9.0168,0.0
163.6325,11.8167,0.0
163.6758,-10.6668,0.0
163.9061,10.983,0.0
164.5819,56.7822,0.1363
164.5311,49.8489,0.0
164.2629,-2.1342,0.0
164.532,41.0489,0.0
164.3774,8.6323,0.0
164.4037,9.6156,0.0
164.6647,32.982,0.0
164.5178,1.4988,0.0383
164.6914,33.932,0.0
164.8819,12.2317,0.0
165.2293,10.5479,0.0353
165.4773,50.3477,0.0
165.6082,58.7642,0.0
165.3874,16.731,0.0
165.3357,-22.719,0.141
165.5809,11.9975,0.0
165.6145,-1.0526,0.0
165.7502,7.6306,0.071
166.5706,73.6965,0.0
166.0906,35.9469,0.0
166.0061,12.5469,0.0
165.9674,1.3303,0.0
166.2216,49.8301,0.0
166.139,35.1968,0.0
166.2398,47.4134,0.0
166.1324,13.6301,0.0
166.1936,22.2301,0.0
166.3807,12.5465,0.0
166.2926,-18.9535,0.0
166.3636,-22.1036,0.0
166.5703,3.9463,0.0
166.4896,-21.537,0.0
166.6182,2.0629,0.0
166.5604,-24.7205,0.0
167.2792,68.7456,0.0
167.0394,48.8792,0.0
166.8593,15.9126,0.0
167.0277,43.9458,0.0582
166.8749,8.0126,0.162
166.8691,2.9459,0.0
167.0077,-7.1543,0.0
167.2967,41.5789,0.0
167.3499,43.2788,0.0
167.3069,33.1788,0.0
167.2481,6.6288,0.0
167.3657,21.6954,0.0316
167.4587,34.5953,0.2596
167.4684,23.962,0.0
167.7852,62.9617,0.0
167.3684,-19.7714,0.0
167.5789,31.7785,0.0
167.5539,12.0118,0.0
167.7889,50.295,0.0
167.6991,28.6784,0.0304
168.4642,75.3944,0.0791
167.9154,39.5782,0.0791
167.8395,21.5282,0.0
167.767,1.1283,0.0
167.9426,40.8448,0.0794
167.7916,0.7616,0.0
168.1403,59.2613,0.0
168.07,42.4447,0.0
168.051,30.7114,0.0
167.9356,-4.9219,0.0
168.2461,53.8779,0.0
168.1593,36.4779,0.0
168.2001,30.3779,0.0
168.1622,20.0779,0.0
168.0875,-3.1554,0.0
168.2547,13.4278,0.1688
168.4287,47.511,0.0
168.4893,40.2943,0.0
168.3841,17.5943,0.0
168.3433,2.511,0.0
168.3851,-5.6057,0.0
168.9263,67.6939,0.0
168.5201,4.3608,0.0
168.6287,12.8941,0.0
168.7326,16.7606,0.0
168.7036,-12.2061,0.0
169.2997,57.4435,0.0
169.1211,29.2603,0.0468
169.2355,-5.6065,0.0
169.8696,4.3429,0.0
169.4366,-4.4734,0.0524
169.3909,-25.2234,0.0
169.7061,51.7098,0.0792
169.6063,16.6932,0.0
169.7301,37.4931,0.0
169.9635,62.6763,0.0
170.1192,47.1594,0.0
170.1915,45.9094,0.0
170.2269,36.426,0.2897
170.332,53.7593,0.1033
170.2483,33.7093,0.0
170.3944,48.0259,0.112
170.3737,34.3259,0.035
170.5153,46.1424,0.0
170.4105,22.3258,0.0
170.5716,49.709,0.0
170.531,17.8924,0.1676
170.4494,-18.941,0.0
170.6092,21.3923,0.1663
170.7323,19.6255,0.1042
170.6911,0.4589,0.0
170.8584,42.8421,0.0
170.7416,1.0922,0.0716
170.995,60.1421,0.0
170.8837,43.1088,0.0
170.8394,27.2088,0.0
170.8048,16.9588,0.0
170.9307,18.192,0.0
171.0614,45.4086,0.0
170.9943,32.292,0.0
170.9585,21.4254,0.216
171.0072,20.0086,0.0
170.9374,-4.208,0.0
171.3496,68.0251,0.0
171.23,41.6418,0.0
171.1797,17.4918,0.0
171.1089,-8.7915,0.0
171.3059,42.4918,0.0
171.7139,71.0749,0.0628
171.9009,75.4747,0.0
171.3531,-16.3084,0.0
171.521,35.3249,0.0339
171.511,25.4249,0.0
171.5446,5.2582,0.0
171.5923,2.0582,0.0
171.8868,48.3247,0.0
171.7485,10.6247,0.0
171.7085,-9.7919,0.0
171.8035,17.1414,0.1267
172.0262,41.3413,0.0
172.0206,36.5746,0.0
171.9862,26.8579,0.0321
172.1084,23.8578,0.0
172.2673,34.1411,0.0
172.3692,54.0577,0.0689
172.2341,-9.5923,0.0
172.4077,23.791,0.0
172.336,-7.0424,0.0
172.4296,19.8909,0.0
172.4941,36.6743,0.0603
172.5154,33.0242,0.0
172.4994,12.9075,0.0
172.5548,20.4742,0.129
172.8034,67.2241,0.0
172.6166,34.6742,0.0
172.6154,33.3742,0.0
172.6719,39.9908,0.0
172.8063,60.7574,0.1434
172.7166,35.0408,0.0
172.606,-14.5592,0.0
172.7059,22.3574,0.0
172.9498,66.774,0.0
172.6946,5.9741,0.0
172.9054,60.7574,0.0
172.8149,33.5907,0.0
173.0186,56.0239,0.053
172.9416,35.824,0.2319
172.9697,39.0573,0.0
173.0649,54.2406,0.0
172.911,-7.5261,0.0
172.9375,-5.1594,0.0
173.4296,76.2237,0.0
173.1255,44.8072,0.0
173.0894,33.9739,0.2247
173.0029,-19.8928,0.0
173.4674,75.057,0.0
173.344,66.4071,0.0
173.1916,36.7905,0.0
173.1904,35.4571,0.2131
173.2396,34.7738,0.0
173.3019,46.6071,0.0
173.1997,14.5238,0.0
173.2133,-3.9763,0.0481
173.2585,-11.843,0.0
173.4436,39.8403,0.0
173.3006,-24.043,0.0
173.5551,50.057,0.0
173.5508,17.0736,0.0
173.7029,49.0402,0.0341
174.0354,71.9234,0.0
173.8896,37.3901,0.0
173.7831,-13.5266,0.0
174.1089,54.9567,0.0566
174.0663,40.0733,0.0
173.9626,-5.81,0.0
174.1492,48.0733,0.0
174.2496,63.2233,0.1104
174.0614,-8.0268,0.0
174.2862,57.0899,0.0
174.1695,7.1899,0.0
174.2656,40.1732,0.0
174.2554,26.5232,0.0
174.3878,37.3732,0.0
174.6473,71.1231,0.0
174.5984,49.5231,0.0
174.6961,63.5897,0.0
174.5111,-9.3436,0.0
174.8225,49.873,0.0
174.7137,-4.3104,0.0555
175.0304,68.1395,0.0
174.8576,32.4063,0.0
174.8455,10.1562,0.0826
175.0991,18.2395,0.0
175.3954,73.0727,0.0
175.2155,44.8728,0.0
175.1453,10.3894,0.0
175.1701,10.0727,0.1061
175.3341,60.6561,0.1318
175.211,-10.7273,0.0
175.2953,10.6894,0.1095
175.2931,5.6894,0.097
175.254,-25.5107,0.0
175.3104,-12.3607,0.0
175.5246,55.356,0.0
175.4515,24.5893,0.0
175.6282,58.5393,0.0
175.4815,-21.4608,0.0
175.5266,25.0393,0.0
175.5449,10.1559,0.1178
175.686,41.9059,0.0
175.6199,10.4392,0.0698
175.7565,61.2892,0.0
175.6939,8.2225,0.0
175.881,61.6559,0.1783
175.77,11.0225,0.1535
175.9381,46.3558,0.0
175.8935,7.4891,0.0
175.9859,43.7391,0.0
175.915,-1.7609,0.107
176.103,30.9057,0.0763
176.2389,67.4224,0.0
176.1231,19.839,0.0215
176.2405,51.2557,0.0
176.209,42.3557,0.0
176.2886,49.339,0.0
176.371,15.539,0.0
176.3696,11.5223,0.1126
176.3649,-2.3944,0.1314
176.4878,49.739,0.0
176.513,-8.2445,0.0
176.5653,-1.0778,0.0
176.7414,55.7389,0.0514
176.6983,23.5055,0.0
176.7681,7.9555,0.0
176.8736,25.4055,0.0
177.1255,75.2221,0.0
177.0881,71.4388,0.1053
177.0383,54.6221,0.0603
176.9974,22.5554,0.0
177.019,11.5554,0.0831
177.0901,-1.9446,0.0
177.2099,51.6221,0.0
177.2468,22.3887,0.0
177.3403,-1.378,0.0
177.3938,12.2553,0.0
177.4376,-12.2947,0.0
177.6405,-0.5781,0.1382
177.7044,47.0053,0.0
177.777,42.3886,0.0
177.7138,-8.4781,0.0
177.8081,54.8553,0.1441
177.7988,33.5219,0.0
177.739,-7.6615,0.0
177.79,-3.0948,0.0913
177.8579,55.1053,0.0778
178.0242,37.2719,0.1648
178.1345,60.4219,0.0
178.0716,28.3885,0.0
178.0901,-2.8115,0.0
178.1212,27.2885,0.0
178.3149,67.8885,0.0
178.3904,-1.7449,0.0
178.4432,15.3884,0.0
178.5258,49.0718,0.0
178.4975,37.7218,0.0
178.8156,-0.5283,0.0
178.9386,73.4718,0.0839
178.8438,23.3717,0.1427
178.8677,16.2884,0.0
178.9513,57.8718,0.0
178.9669,10.7717,0.0
179.02,34.6051,0.0
178.9885,-18.645,0.0
179.0656,-0.245,0.0
179.1435,26.0884,0.0
179.2536,67.9717,0.0
179.29,-7.0284,0.0
179.3438,33.655,0.0
179.3911,5.0383,0.0
179.5425,26.3883,0.0
179.5648,-12.9951,0.0
179.5928,30.705,0.0
179.5913,9.855,0.0
179.7676,35.755,0.0
179.8683,49.7883,0.2105
179.8669,30.1717,0.0
179.9205,68.105,0.0
179.9166,25.8717,0.0
180.0655,-7.1784,0.0
180.0909,10.6883,0.0
180.1171,56.255,0.0646
180.1157,3.3383,0.1339
180.1661,29.6883,0.0
180.1914,50.455,0.0
180.1653,-23.3784,0.0
180.216,35.5717,0.0
180.2657,15.205,0.0
180.3656,23.0883,0.0
180.4154,30.0216,0.0
180.4406,-0.1617,0.0
180.4645,58.0217,0.1028
180.5152,23.8216,0.0
180.7409,-6.8284,0.0
180.7645,28.5717,0.0
180.7666,-23.3118,0.0
180.8166,-21.5118,0.0
180.912,51.7384,0.0631
180.9159,-4.6451,0.0
180.9618,51.0217,0.0
180.964,27.9883,0.0
180.9654,4.2383,0.0
181.0361,52.4217,0.0
181.041,-5.0617,0.0
181.0655,2.505,0.0
181.1353,53.2884,0.0
181.1619,42.5217,0.0
181.1895,15.055,0.0
181.1903,3.9383,0.0
181.2134,26.7217,0.0
181.2378,32.1217,0.0
181.2388,22.6217,0.0
181.3494,72.6051,0.0
181.409,51.4217,0.0844
181.4413,-7.1117,0.0
181.7198,71.6384,0.0
181.8558,52.6051,0.0
181.911,30.8051,0.0
181.9609,30.6051,0.0
181.9885,14.9551,0.0791
182.0368,24.4051,0.0
182.0605,30.9718,0.0
182.2214,64.0718,0.0
182.634,30.5552,0.0
182.5189,-16.8282,0.0
182.6837,30.8552,0.0
182.7123,15.8719,0.0
182.7418,-5.5782,0.0
182.7323,35.2886,0.0
182.7781,72.0886,0.0
182.8665,-3.8781,0.0
182.958,30.5719,0.0
182.9582,29.9886,0.0
183.1185,-11.8114,0.0
183.1335,27.4886,0.0
183.136,18.622,0.0
183.2387,7.8886,0.0
183.2559,34.172,0.0
183.3141,6.0387,0.0
183.3092,23.9387,0.0
183.3573,29.2387,0.1429
183.3407,59.2721,0.0941
183.5328,26.6554,0.1669
183.5559,31.6554,0.0
183.5615,14.7554,0.0
183.46,74.3888,0.0
183.5344,63.2221,0.0
183.793,-8.2279,0.0
183.8096,19.4388,0.0
183.8317,27.5222,0.1836
183.9097,18.6888,0.0
183.9546,31.7722,0.0
183.9598,59.9722,0.0592
184.0349,17.4889,0.0
184.0775,35.6223,0.0
184.1311,27.1889,0.0
184.1972,-19.2445,0.0
184.2214,45.2223,0.0
184.2528,72.8224,0.0
184.483,20.6557,0.1995
184.6793,27.9725,0.0
184.7386,5.2391,0.0
184.7925,-5.0109,0.0
184.7471,63.5059,0.0
184.8295,26.9225,0.0
184.8958,-13.2609,0.0
184.896,-13.6942,0.0
184.9643,49.1893,0.0
185.313,6.1393,0.0
185.4372,7.8394,0.1369
185.5161,-1.1439,0.259
185.5344,13.7394,0.0
185.7099,12.2229,0.0
185.7218,58.9063,0.0
185.8166,61.223,0.0
185.7146,2.0895,0.0
186.0215,57.7064,0.0
186.1049,20.7897,0.0
186.1401,0.9064,0.2319
186.0142,61.5064,0.0
186.3488,-15.6602,0.0
186.2128,77.1232,0.0
186.6554,-25.8267,0.0
186.5688,56.89,0.0
186.5816,62.5567,0.0
186.7883,4.2234,0.0
186.8606,8.8401,0.0892
186.9031,49.4402,0.0
186.9467,30.3735,0.0
186.9259,63.4235,0.0
187.0549,47.4069,0.0
186.9967,64.6069,0.0
187.1488,26.757,0.0
187.2537,19.4237,0.1611
187.247,28.9404,0.0
187.3032,47.7071,0.254
187.4149,36.6571,0.0
187.4584,11.7404,0.0837
187.7089,10.5739,0.1652
187.7553,15.9573,0.0
187.9994,-13.3926,0.0
188.3312,-22.0091,0.0
188.141,62.841,0.0
188.5001,-13.5756,0.0
188.2733,67.1077,0.1042
188.5298,15.1745,0.0
188.2868,69.3577,0.0
188.5555,41.1745,0.19
188.5353,54.0579,0.0
188.7393,1.8413,0.0
188.8042,41.3581,0.0
188.7546,64.3747,0.0
189.0193,26.7415,0.0
188.9589,53.4082,0.0
189.0779,16.5915,0.0784
189.1002,19.8082,0.0
188.1756,83.3411,0.209
189.1768,-14.6918,0.0
189.177,-14.9418,0.0
189.2237,-10.7084,0.0
189.3185,26.8084,0.0
189.2046,63.1917,0.0
189.4658,-0.2749,0.0
189.5238,43.0586,0.0
189.4658,65.8419,0.0
189.2587,77.9251,0.0
189.9383,2.7422,0.0
189.856,52.0922,0.0
190.1291,-15.9577,0.0
190.2066,-18.5743,0.0
190.3299,-16.4909,0.0
190.2821,9.9425,0.0
190.2903,27.5425,0.0
190.3946,-4.7908,0.0
190.3991,18.5926,0.0718
190.033,73.1424,0.0
190.3576,49.9093,0.0
190.5123,29.7927,0.0
190.5081,33.3094,0.0
190.5398,27.4927,0.0
190.6552,-16.4239,0.0
190.5977,19.7428,0.0
190.2633,72.2259,0.0
190.6128,29.1095,0.0
190.6881,2.8095,0.0
190.7562,-17.2738,0.0
190.8825,8.9763,0.0
190.8642,27.293,0.0
190.9799,-15.557,0.0
190.9875,-23.107,0.0
191.0103,-20.9236,0.0
191.1516,-11.9901,0.0
190.6835,76.143,0.0
191.4051,33.3935,0.0
191.6134,26.427,0.0891
191.7835,30.0272,0.0
191.8215,18.9106,0.0
191.9183,-2.8061,0.0
191.8506,35.5606,0.0
191.567,69.6771,0.0
191.926,48.8774,0.0
191.91,55.0441,0.0833
191.8961,59.1941,0.0
192.2545,10.861,0.0
192.309,28.5111,0.0
192.4421,-1.5889,0.0
192.1788,62.6777,0.0
192.3961,49.8279,0.2855
192.426,47.7279,0.0
192.5815,8.6446,0.0
192.7382,-20.7886,0.0
192.6293,31.3281,0.0
192.7763,13.3282,0.0
192.7577,28.6115,0.0
192.9114,3.9283,0.0
192.9357,4.5617,0.0649
193.2076,-15.4381,0.0508
193.2562,28.8121,0.1962
193.4969,-26.3878,0.0
193.498,-6.6877,0.0
193.5756,-8.9377,0.0
193.367,62.8123,0.0
193.4873,50.8124,0.0
193.6684,18.9958,0.0
193.7539,10.1626,0.0
193.6161,62.5625,0.0
193.9549,28.4462,0.0
194.0581,6.3962,0.0
193.9766,44.0796,0.1981
194.3115,-17.3535,0.0449
194.3334,-14.8701,0.0
193.9402,62.1629,0.0
194.3657,20.0966,0.0
194.7502,-26.6197,0.0
194.6536,9.7636,0.0
194.6926,-1.753,0.0845
194.8456,-4.1862,0.0825
194.9323,-13.4861,0.0
